time (UTC),pressureRow,Depth (m),Temperature (degC ITS-90),bin_centre,x,y
1956-05-31 00:00:00+00:00,0,21.18327868,5.426,25,40,22.571428571428573
1956-05-31 00:00:00+00:00,1,84.23943319,4.3,75,40,27.714285714285715
1956-05-31 00:00:00+00:00,2,142.2680775,4.43,125,40,32.857142857142854
1956-05-31 00:00:00+00:00,3,185.1695817,4.23,175,40,38
1956-05-31 00:00:00+00:00,5,270.4941433,4.01,275,40,48.28571428571429
1956-05-31 00:00:00+00:00,8,428.1087448,3.73,425,40,63.714285714285715
1956-05-31 00:00:00+00:00,9,454.389462,3.7,475,40,68.85714285714286
1956-05-31 00:00:00+00:00,18,914.8373957,2.93,925,40,115.14285714285715
1956-05-31 00:00:00+00:00,27,1395.584281,2.32,1375,40,161.42857142857142
1956-05-31 00:00:00+00:00,37,1881.486542,1.98,1875,40,212.85714285714283
1956-05-31 00:00:00+00:00,40,2027.063622,1.87,2025,40,228.28571428571428
1956-05-31 00:00:00+00:00,47,2372.562698,1.76,2375,40,264.2857142857143
1956-05-31 00:00:00+00:00,50,2547.048234,1.66,2525,40,279.7142857142857
1956-05-31 00:00:00+00:00,59,2974.150317,1.58,2975,40,326
1956-05-31 00:00:00+00:00,69,3459.464831,1.49,3475,40,377.42857142857144
1956-06-30 00:00:00+00:00,0,18.9639423,6.536,25,41.157169037437825,22.571428571428573
1956-06-30 00:00:00+00:00,1,74.14916129,4.655,75,41.157169037437825,27.714285714285715
1956-06-30 00:00:00+00:00,2,127.128706,4.48,125,41.157169037437825,32.857142857142854
1956-06-30 00:00:00+00:00,3,176.5888854,4.305,175,41.157169037437825,38
1956-06-30 00:00:00+00:00,5,273.5244801,4.04,275,41.157169037437825,48.28571428571429
1956-06-30 00:00:00+00:00,9,454.3901513,3.71,475,41.157169037437825,68.85714285714286
1956-06-30 00:00:00+00:00,18,915.8518723,2.98,925,41.157169037437825,115.14285714285715
1956-06-30 00:00:00+00:00,27,1388.478841,2.36,1375,41.157169037437825,161.42857142857142
1956-06-30 00:00:00+00:00,37,1871.312834,1.94,1875,41.157169037437825,212.85714285714283
1956-06-30 00:00:00+00:00,47,2357.267157,1.72,2375,41.157169037437825,264.2857142857143
1956-07-31 00:00:00+00:00,0,24.88241089,9.62,25,42.352910376123575,22.571428571428573
1956-07-31 00:00:00+00:00,1,86.76212177,4.505,75,42.352910376123575,27.714285714285715
1956-07-31 00:00:00+00:00,4,205.8663559,4.2,225,42.352910376123575,43.14285714285714
1956-07-31 00:00:00+00:00,6,305.8459883,3.93,325,42.352910376123575,53.42857142857143
1956-07-31 00:00:00+00:00,12,619.2248286,3.44,625,42.352910376123575,84.28571428571428
1956-07-31 00:00:00+00:00,20,1029.34689,2.8,1025,42.352910376123575,125.42857142857143
1956-08-31 00:00:00+00:00,0,12.24860401,10.765,25,43.54865171480932,22.571428571428573
1956-08-31 00:00:00+00:00,1,87.62684438,4.4,75,43.54865171480932,27.714285714285715
1956-08-31 00:00:00+00:00,2,124.0290476,4.27,125,43.54865171480932,32.857142857142854
1956-08-31 00:00:00+00:00,3,178.824115,4.35,175,43.54865171480932,38
1956-08-31 00:00:00+00:00,4,223.4639198,4.05,225,43.54865171480932,43.14285714285714
1956-08-31 00:00:00+00:00,5,253.3254212,,275,43.54865171480932,48.28571428571429
1956-09-30 00:00:00+00:00,0,12.56562856,11.83586111,25,44.70582075224714,22.571428571428573
1956-09-30 00:00:00+00:00,1,85.24847501,4.521666667,75,44.70582075224714,27.714285714285715
1956-09-30 00:00:00+00:00,2,124.6498882,4.151944444,125,44.70582075224714,32.857142857142854
1956-09-30 00:00:00+00:00,3,178.1029978,4.278,175,44.70582075224714,38
1956-09-30 00:00:00+00:00,4,220.6331078,4.18,225,44.70582075224714,43.14285714285714
1956-09-30 00:00:00+00:00,5,257.1525734,3.985,275,44.70582075224714,48.28571428571429
1956-09-30 00:00:00+00:00,6,322.5151913,3.91,325,44.70582075224714,53.42857142857143
1956-09-30 00:00:00+00:00,7,366.463534,3.86,375,44.70582075224714,58.57142857142857
1956-09-30 00:00:00+00:00,8,399.8101433,3.78,425,44.70582075224714,63.714285714285715
1956-09-30 00:00:00+00:00,10,516.5669292,3.55,525,44.70582075224714,74
1956-09-30 00:00:00+00:00,11,565.6141311,3.525,575,44.70582075224714,79.14285714285714
1956-09-30 00:00:00+00:00,12,601.015761,3.47,625,44.70582075224714,84.28571428571428
1956-09-30 00:00:00+00:00,13,699.1611366,3.29,675,44.70582075224714,89.42857142857143
1956-09-30 00:00:00+00:00,14,721.4277875,3.245,725,44.70582075224714,94.57142857142857
1956-09-30 00:00:00+00:00,15,786.2154747,3.125,775,44.70582075224714,99.71428571428571
1956-09-30 00:00:00+00:00,17,890.0183151,2.965,875,44.70582075224714,110
1956-09-30 00:00:00+00:00,18,928.0078931,2.88,925,44.70582075224714,115.14285714285715
1956-09-30 00:00:00+00:00,19,971.5777035,2.9,975,44.70582075224714,120.28571428571429
1956-09-30 00:00:00+00:00,20,1000.967071,2.8,1025,44.70582075224714,125.42857142857143
1956-09-30 00:00:00+00:00,21,1078.007111,2.695,1075,44.70582075224714,130.57142857142856
1956-09-30 00:00:00+00:00,22,1125.663933,2.66,1125,44.70582075224714,135.71428571428572
1956-09-30 00:00:00+00:00,23,1168.260161,2.57,1175,44.70582075224714,140.85714285714286
1956-09-30 00:00:00+00:00,24,1203.763549,2.54,1225,44.70582075224714,146
1956-11-30 00:00:00+00:00,0,17.64264008,6.947777778,25,47.05873112837071,22.571428571428573
1956-11-30 00:00:00+00:00,1,65.35518824,5.958333333,75,47.05873112837071,27.714285714285715
1956-11-30 00:00:00+00:00,2,113.9593803,4.119444444,125,47.05873112837071,32.857142857142854
1956-11-30 00:00:00+00:00,3,185.1701298,4.13,175,47.05873112837071,38
1956-11-30 00:00:00+00:00,4,228.0798838,4.03,225,47.05873112837071,43.14285714285714
1956-11-30 00:00:00+00:00,5,298.7751374,3.93,275,47.05873112837071,48.28571428571429
