Year,Depth,temp
1956,0-10 dbar,8.0669
1956,10-50 dbar,6.9816
1956,100-150 dbar,4.2177
1956,800-1200 dbar,2.849
1956,2000 dbar - bottom,NaN
1957,0-10 dbar,9.0546
1957,10-50 dbar,8.5956
1957,100-150 dbar,4.9171
1957,800-1200 dbar,2.8102
1957,2000 dbar - bottom,NaN
1958,0-10 dbar,8.9594
1958,10-50 dbar,8.0657
1958,100-150 dbar,5.5262
1958,800-1200 dbar,2.8738
1958,2000 dbar - bottom,NaN
1959,0-10 dbar,8.6873
1959,10-50 dbar,8.2175
1959,100-150 dbar,5.0475
1959,800-1200 dbar,2.882
1959,2000 dbar - bottom,NaN
1960,0-10 dbar,8.1413
1960,10-50 dbar,7.6697
1960,100-150 dbar,5.4172
1960,800-1200 dbar,2.9187
1960,2000 dbar - bottom,1.6356
1961,0-10 dbar,8.3815
1961,10-50 dbar,7.5716
1961,100-150 dbar,4.4401
1961,800-1200 dbar,2.8356
1961,2000 dbar - bottom,1.6274
1962,0-10 dbar,8.7539
1962,10-50 dbar,8.0746
1962,100-150 dbar,4.5364
1962,800-1200 dbar,2.8902
1962,2000 dbar - bottom,1.638
1963,0-10 dbar,8.9314
1963,10-50 dbar,8.0461
1963,100-150 dbar,4.4075
1963,800-1200 dbar,2.8747
1963,2000 dbar - bottom,1.6397
1964,0-10 dbar,7.9071
1964,10-50 dbar,7.2245
1964,100-150 dbar,4.2279
1964,800-1200 dbar,2.8488
1964,2000 dbar - bottom,1.6341
1965,0-10 dbar,8.4092
1965,10-50 dbar,7.8823
1965,100-150 dbar,4.6953
1965,800-1200 dbar,2.8715
1965,2000 dbar - bottom,1.6297
1966,0-10 dbar,7.8217
1966,10-50 dbar,7.4647
1966,100-150 dbar,4.7486
1966,800-1200 dbar,2.8901
1966,2000 dbar - bottom,1.6402
1967,0-10 dbar,8.2313
1967,10-50 dbar,7.2828
1967,100-150 dbar,4.7558
1967,800-1200 dbar,2.9105
1967,2000 dbar - bottom,1.6374
1968,0-10 dbar,8.0526
1968,10-50 dbar,7.2364
1968,100-150 dbar,4.3972
1968,800-1200 dbar,2.8398
1968,2000 dbar - bottom,1.6227
1969,0-10 dbar,7.8333
1969,10-50 dbar,7.2364
1969,100-150 dbar,4.1156
1969,800-1200 dbar,2.843
1969,2000 dbar - bottom,1.6194
1970,0-10 dbar,7.5576
